State_Code,County,County_Seat,Latitude,Longitude
GA, Talbot,Talbotton,32.677248,-84.54065
GA, Upson,Thomaston,32.891673,-84.326691
GA, Thomas,Thomasville,30.839422,-83.978781
GA, McDuffie,Thomson,33.46853,-82.497955
GA, Tift,Tifton,31.462099,-83.520499
GA, Stephens,Toccoa,34.582081,-83.327169
GA, Dade,Trenton,34.874147,-85.50965
GA, Lowndes,Valdosta,30.850126,-83.278833
GA, Dooly,Vienna,32.092747,-83.786839
GA, Warren,Warrenton,33.406073,-82.665431
GA, Wilkes,Washington,33.732289,-82.743613
GA, Oconee,Watkinsville,33.859666,-83.404788
GA, Ware,Waycross,31.211006,-82.357658
GA, Burke,Waynesboro,33.091279,-82.01429
GA, Barrow,Winder,33.991341,-83.721508
GA, Camden,Woodbine,30.959855,-81.718098
GA, Johnson,Wrightsville,32.726812,-82.719072
GA, Pike,Zebulon,33.090996,-84.339467
HI, Hawaii,Hilo,19.688748,-155.082892
HI, Kauai,Lihue,21.972582,-159.355807
HI, Maui,Wailuku,20.885467,-156.503627
IA, Dallas,Adel,41.609388,-94.012663
IA, Monroe,Albia,41.026758,-92.803743
IA, Kossuth,Algona,43.074673,-94.229937
IA, Butler,Allison,42.751986,-92.795719
IA, Jones,Anamosa,42.108825,-91.275205
IA, Cass,Atlantic,41.392994,-95.021882
IA, Audubon,Audubon,41.718019,-94.928372
IA, Taylor,Bedford,40.671152,-94.724292
IA, Davis,Bloomfield,40.749108,-92.417031
IA, Boone,Boone,42.049257,-93.872526
IA, Des Moines,Burlington,40.807102,-91.123676
IA, Carroll,Carroll,42.069835,-94.864639
IA, Linn,Cedar Rapids,41.96624,-91.677932
IA, Appanoose,Centerville,40.729839,-92.872033
IA, Lucas,Chariton,41.017447,-93.309629
IA, Floyd,Charles City,43.06476,-92.674457
IA, Cherokee,Cherokee,42.749499,-95.552159
IA, Page,Clarinda,40.737707,-95.033748
IA, Wright,Clarion,42.731971,-93.729808
IA, Clinton,Clinton,41.842365,-90.242816
IA, Adams,Corning,40.992794,-94.739722
